%###############################################################
%               Frequency                        |S11|
%                                            insertion loss
%                 (GHz)                           (dB)
%###############################################################
                  28.398                      -1.8126071
                  28.401                      -1.8127143
                  28.404                      -1.8128229
                  28.407                      -1.8129328
                   28.41                      -1.8130441
                  28.413                      -1.8131568
                  28.416                      -1.8132707
                  28.419                       -1.813386
                  28.422                      -1.8135026
                  28.425                      -1.8136206
                  28.428                      -1.8137398
                  28.431                      -1.8138603
                  28.434                      -1.8139821
                  28.437                      -1.8141052
                   28.44                      -1.8142295
                  28.443                      -1.8143551
                  28.446                       -1.814482
                  28.449                        -1.81461
                  28.452                      -1.8147393
                  28.455                      -1.8148698
                  28.458                      -1.8150016
                  28.461                      -1.8151345
                  28.464                      -1.8152686
                  28.467                      -1.8154038
                   28.47                      -1.8155402
                  28.473                      -1.8156777
                  28.476                      -1.8158164
                  28.479                      -1.8159562
                  28.482                      -1.8160971
                  28.485                       -1.816239
                  28.488                       -1.816382
                  28.491                      -1.8165261
                  28.494                      -1.8166712
                  28.497                      -1.8168174
                    28.5                      -1.8169645
                  28.503                      -1.8171127
                  28.506                      -1.8172618
                  28.509                      -1.8174119
                  28.512                      -1.8175629
                  28.515                      -1.8177148
                  28.518                      -1.8178676
                  28.521                      -1.8180213
                  28.524                      -1.8181759
                  28.527                      -1.8183313
                   28.53                      -1.8184876
                  28.533                      -1.8186447
                  28.536                      -1.8188025
                  28.539                      -1.8189611
                  28.542                      -1.8191205
                  28.545                      -1.8192806
                  28.548                      -1.8194414
                  28.551                      -1.8196028
                  28.554                       -1.819765
                  28.557                      -1.8199278
                   28.56                      -1.8200912
                  28.563                      -1.8202551
                  28.566                      -1.8204197
                  28.569                      -1.8205848
                  28.572                      -1.8207504
                  28.575                      -1.8209165
                  28.578                      -1.8210832
                  28.581                      -1.8212502
                  28.584                      -1.8214177
                  28.587                      -1.8215856
                   28.59                      -1.8217539
                  28.593                      -1.8219225
                  28.596                      -1.8220915
                  28.599                      -1.8222607
                  28.602                      -1.8224303
                  28.605                      -1.8226001
                  28.608                      -1.8227701
                  28.611                      -1.8229404
                  28.614                      -1.8231108
                  28.617                      -1.8232814
                   28.62                      -1.8234521
                  28.623                      -1.8236229
                  28.626                      -1.8237938
                  28.629                      -1.8239648
                  28.632                      -1.8241358
                  28.635                      -1.8243068
                  28.638                      -1.8244778
                  28.641                      -1.8246488
                  28.644                      -1.8248197
                  28.647                      -1.8249905
                   28.65                      -1.8251612
                  28.653                      -1.8253318
                  28.656                      -1.8255023
                  28.659                      -1.8256725
                  28.662                      -1.8258426
                  28.665                      -1.8260124
                  28.668                      -1.8261821
                  28.671                      -1.8263514
                  28.674                      -1.8265205
                  28.677                      -1.8266893
                   28.68                      -1.8268578
                  28.683                      -1.8270259
                  28.686                      -1.8271937
                  28.689                      -1.8273611
                  28.692                      -1.8275282
                  28.695                      -1.8276949
                  28.698                      -1.8278611
                  28.701                      -1.8280269
                  28.704                      -1.8281923
                  28.707                      -1.8283573
                   28.71                      -1.8285218
                  28.713                      -1.8286858
                  28.716                      -1.8288493
                  28.719                      -1.8290124
                  28.722                      -1.8291749
                  28.725                       -1.829337
                  28.728                      -1.8294985
                  28.731                      -1.8296596
                  28.734                      -1.8298201
                  28.737                      -1.8299801
                   28.74                      -1.8301396
                  28.743                      -1.8302985
                  28.746                       -1.830457
                  28.749                      -1.8306149
                  28.752                      -1.8307722
                  28.755                      -1.8309291
                  28.758                      -1.8310854
                  28.761                      -1.8312412
                  28.764                      -1.8313965
                  28.767                      -1.8315513
                   28.77                      -1.8317057
                  28.773                      -1.8318595
                  28.776                      -1.8320128
                  28.779                      -1.8321656
                  28.782                       -1.832318
                  28.785                      -1.8324699
                  28.788                      -1.8326214
                  28.791                      -1.8327724
                  28.794                       -1.832923
                  28.797                      -1.8330732
                    28.8                      -1.8332229
                  28.803                      -1.8333723
                  28.806                      -1.8335213
                  28.809                        -1.83367
                  28.812                      -1.8338182
                  28.815                      -1.8339662
                  28.818                      -1.8341138
                  28.821                      -1.8342611
                  28.824                      -1.8344081
                  28.827                      -1.8345548
                   28.83                      -1.8347012
                  28.833                      -1.8348474
                  28.836                      -1.8349934
                  28.839                      -1.8351391
                  28.842                      -1.8352846
                  28.845                      -1.8354298
                  28.848                      -1.8355749
                  28.851                      -1.8357199
                  28.854                      -1.8358646
                  28.857                      -1.8360092
                   28.86                      -1.8361537
                  28.863                       -1.836298
                  28.866                      -1.8364422
                  28.869                      -1.8365863
                  28.872                      -1.8367303
                  28.875                      -1.8368741
                  28.878                       -1.837018
                  28.881                      -1.8371617
                  28.884                      -1.8373054
                  28.887                       -1.837449
                   28.89                      -1.8375925
                  28.893                       -1.837736
                  28.896                      -1.8378794
                  28.899                      -1.8380228
                  28.902                      -1.8381662
                  28.905                      -1.8383095
                  28.908                      -1.8384528
                  28.911                      -1.8385961
                  28.914                      -1.8387393
                  28.917                      -1.8388825
                   28.92                      -1.8390256
                  28.923                      -1.8391687
                  28.926                      -1.8393118
                  28.929                      -1.8394548
                  28.932                      -1.8395978
                  28.935                      -1.8397407
                  28.938                      -1.8398836
                  28.941                      -1.8400264
                  28.944                      -1.8401692
                  28.947                      -1.8403118
                   28.95                      -1.8404544
                  28.953                      -1.8405969
                  28.956                      -1.8407393
                  28.959                      -1.8408816
                  28.962                      -1.8410238
                  28.965                      -1.8411659
                  28.968                      -1.8413078
                  28.971                      -1.8414496
                  28.974                      -1.8415912
                  28.977                      -1.8417326
                   28.98                      -1.8418739
                  28.983                       -1.842015
                  28.986                      -1.8421559
                  28.989                      -1.8422966
                  28.992                       -1.842437
                  28.995                      -1.8425772
                  28.998                      -1.8427172
                  29.001                      -1.8428568
                  29.004                      -1.8429962
                  29.007                      -1.8431354
                   29.01                      -1.8432742
                  29.013                      -1.8434126
                  29.016                      -1.8435508
                  29.019                      -1.8436886
                  29.022                      -1.8438261
                  29.025                      -1.8439631
                  29.028                      -1.8440998
                  29.031                      -1.8442361
                  29.034                       -1.844372
                  29.037                      -1.8445075
                   29.04                      -1.8446425
                  29.043                       -1.844777
                  29.046                      -1.8449111
                  29.049                      -1.8450448
                  29.052                      -1.8451779
                  29.055                      -1.8453105
                  29.058                      -1.8454427
                  29.061                      -1.8455743
                  29.064                      -1.8457053
                  29.067                      -1.8458358
                   29.07                      -1.8459658
                  29.073                      -1.8460952
                  29.076                       -1.846224
                  29.079                      -1.8463522
                  29.082                      -1.8464798
                  29.085                      -1.8466069
                  29.088                      -1.8467332
                  29.091                       -1.846859
                  29.094                      -1.8469842
                  29.097                      -1.8471086
                    29.1                      -1.8472325
                  29.103                      -1.8473557
                  29.106                      -1.8474782
                  29.109                         -1.8476
                  29.112                      -1.8477212
                  29.115                      -1.8478417
                  29.118                      -1.8479615
                  29.121                      -1.8480806
                  29.124                       -1.848199
                  29.127                      -1.8483167
                   29.13                      -1.8484337
                  29.133                        -1.84855
                  29.136                      -1.8486655
                  29.139                      -1.8487804
                  29.142                      -1.8488945
                  29.145                      -1.8490079
                  29.148                      -1.8491206
                  29.151                      -1.8492326
                  29.154                      -1.8493438
                  29.157                      -1.8494543
                   29.16                      -1.8495641
                  29.163                      -1.8496731
                  29.166                      -1.8497815
                  29.169                      -1.8498891
                  29.172                       -1.849996
                  29.175                      -1.8501021
                  29.178                      -1.8502076
                  29.181                      -1.8503123
                  29.184                      -1.8504163
                  29.187                      -1.8505196
                   29.19                      -1.8506222
                  29.193                      -1.8507241
                  29.196                      -1.8508252
                  29.199                      -1.8509257
                  29.202                      -1.8510255
                  29.205                      -1.8511246
                  29.208                      -1.8512231
                  29.211                      -1.8513208
                  29.214                      -1.8514179
                  29.217                      -1.8515144
                   29.22                      -1.8516102
                  29.223                      -1.8517053
                  29.226                      -1.8517998
                  29.229                      -1.8518937
                  29.232                      -1.8519869
                  29.235                      -1.8520796
                  29.238                      -1.8521716
                  29.241                       -1.852263
                  29.244                      -1.8523539
                  29.247                      -1.8524441
                   29.25                      -1.8525338
                  29.253                       -1.852623
                  29.256                      -1.8527116
                  29.259                      -1.8527996
                  29.262                      -1.8528872
                  29.265                      -1.8529742
                  29.268                      -1.8530607
                  29.271                      -1.8531467
                  29.274                      -1.8532322
                  29.277                      -1.8533173
                   29.28                      -1.8534019
                  29.283                      -1.8534861
                  29.286                      -1.8535698
                  29.289                      -1.8536531
                  29.292                       -1.853736
                  29.295                      -1.8538185
                  29.298                      -1.8539007
                  29.301                      -1.8539824
                  29.304                      -1.8540638
                  29.307                      -1.8541449
                   29.31                      -1.8542257
                  29.313                      -1.8543061
                  29.316                      -1.8543862
                  29.319                      -1.8544661
                  29.322                      -1.8545456
                  29.325                       -1.854625
                  29.328                       -1.854704
                  29.331                      -1.8547829
                  29.334                      -1.8548615
                  29.337                        -1.85494
                   29.34                      -1.8550182
                  29.343                      -1.8550963
                  29.346                      -1.8551742
                  29.349                       -1.855252
                  29.352                      -1.8553297
                  29.355                      -1.8554072
                  29.358                      -1.8554847
                  29.361                      -1.8555621
                  29.364                      -1.8556394
                  29.367                      -1.8557167
                   29.37                       -1.855794
                  29.373                      -1.8558712
                  29.376                      -1.8559484
                  29.379                      -1.8560256
                  29.382                      -1.8561029
                  29.385                      -1.8561802
                  29.388                      -1.8562576
                  29.391                       -1.856335
                  29.394                      -1.8564126
                  29.397                      -1.8564902
                    29.4                      -1.8565679
                  29.403                      -1.8566458
                  29.406                      -1.8567238
                  29.409                       -1.856802
                  29.412                      -1.8568804
                  29.415                       -1.856959
                  29.418                      -1.8570377
                  29.421                      -1.8571167
                  29.424                      -1.8571959
                  29.427                      -1.8572754
                   29.43                      -1.8573551
                  29.433                      -1.8574351
                  29.436                      -1.8575154
                  29.439                      -1.8575961
                  29.442                       -1.857677
                  29.445                      -1.8577582
                  29.448                      -1.8578398
                  29.451                      -1.8579218
                  29.454                      -1.8580041
                  29.457                      -1.8580868
                   29.46                        -1.85817
                  29.463                      -1.8582535
                  29.466                      -1.8583374
                  29.469                      -1.8584218
                  29.472                      -1.8585067
                  29.475                      -1.8585919
                  29.478                      -1.8586777
                  29.481                      -1.8587639
                  29.484                      -1.8588507
                  29.487                      -1.8589379
                   29.49                      -1.8590257
                  29.493                       -1.859114
                  29.496                      -1.8592028
                  29.499                      -1.8592921
                  29.502                      -1.8593821
                  29.505                      -1.8594726
                  29.508                      -1.8595636
                  29.511                      -1.8596553
                  29.514                      -1.8597475
                  29.517                      -1.8598404
                   29.52                      -1.8599338
                  29.523                      -1.8600279
                  29.526                      -1.8601226
                  29.529                       -1.860218
                  29.532                       -1.860314
                  29.535                      -1.8604107
                  29.538                       -1.860508
                  29.541                       -1.860606
                  29.544                      -1.8607046
                  29.547                       -1.860804
                   29.55                       -1.860904
                  29.553                      -1.8610047
                  29.556                      -1.8611061
                  29.559                      -1.8612082
                  29.562                      -1.8613111
                  29.565                      -1.8614146
                  29.568                      -1.8615189
                  29.571                      -1.8616239
                  29.574                      -1.8617296
                  29.577                      -1.8618361
                   29.58                      -1.8619433
                  29.583                      -1.8620512
                  29.586                      -1.8621599
                  29.589                      -1.8622693
                  29.592                      -1.8623794
                  29.595                      -1.8624903
                  29.598                       -1.862602
                  29.601                      -1.8627144
                  29.604                      -1.8628276
                  29.607                      -1.8629415
                   29.61                      -1.8630562
                  29.613                      -1.8631717
                  29.616                      -1.8632879
                  29.619                      -1.8634049
                  29.622                      -1.8635226
                  29.625                      -1.8636411
                  29.628                      -1.8637603
                  29.631                      -1.8638803
                  29.634                      -1.8640011
                  29.637                      -1.8641226
                   29.64                      -1.8642449
                  29.643                      -1.8643679
                  29.646                      -1.8644917
                  29.649                      -1.8646162
                  29.652                      -1.8647415
                  29.655                      -1.8648675
                  29.658                      -1.8649942
                  29.661                      -1.8651217
                  29.664                      -1.8652499
                  29.667                      -1.8653789
                   29.67                      -1.8655086
                  29.673                       -1.865639
                  29.676                      -1.8657701
                  29.679                       -1.865902
                  29.682                      -1.8660345
                  29.685                      -1.8661678
                  29.688                      -1.8663017
                  29.691                      -1.8664364
                  29.694                      -1.8665717
                  29.697                      -1.8667078
                    29.7                      -1.8668445
                  29.703                      -1.8669819
                  29.706                        -1.86712
                  29.709                      -1.8672587
                  29.712                      -1.8673981
