%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                   28.44                      -59.063668
                  28.443                      -61.540654
                  28.446                      -64.988418
                  28.449                      -70.589619
                  28.452                       -79.36758
                  28.455                      -70.488198
                  28.458                      -64.945805
                  28.461                      -61.527105
                  28.464                      -59.069772
                  28.467                       -57.15431
                   28.47                      -55.585822
                  28.473                      -54.258354
                  28.476                         -53.108
                  28.479                      -52.093278
                  28.482                      -51.185746
                  28.485                      -50.365059
                  28.488                      -49.616162
                  28.491                      -48.927604
                  28.494                      -48.290474
                  28.497                      -47.697701
                    28.5                      -47.143578
                  28.503                      -46.623437
                  28.506                      -46.133409
                  28.509                      -45.670249
                  28.512                      -45.231214
                  28.515                      -44.813961
                  28.518                      -44.416472
                  28.521                         -44.037
                  28.524                       -43.67402
                  28.527                      -43.326194
                   28.53                      -42.992341
                  28.533                      -42.671415
                  28.536                      -42.362481
                  28.539                      -42.064706
                  28.542                       -41.77734
                  28.545                      -41.499706
                  28.548                      -41.231193
                  28.551                      -40.971246
                  28.554                       -40.71936
                  28.557                      -40.475072
                   28.56                      -40.237961
                  28.563                      -40.007639
                  28.566                      -39.783749
                  28.569                      -39.565963
                  28.572                      -39.353977
                  28.575                      -39.147509
                  28.578                      -38.946299
                  28.581                      -38.750104
                  28.584                      -38.558699
                  28.587                      -38.371874
                   28.59                      -38.189431
                  28.593                      -38.011187
                  28.596                      -37.836971
                  28.599                       -37.66662
                  28.602                      -37.499982
                  28.605                      -37.336916
                  28.608                      -37.177288
                  28.611                       -37.02097
                  28.614                      -36.867843
                  28.617                      -36.717794
                   28.62                      -36.570718
                  28.623                      -36.426512
                  28.626                      -36.285082
                  28.629                      -36.146336
                  28.632                      -36.010189
                  28.635                      -35.876559
                  28.638                      -35.745367
                  28.641                      -35.616541
                  28.644                      -35.490009
                  28.647                      -35.365704
                   28.65                      -35.243563
                  28.653                      -35.123525
                  28.656                       -35.00553
                  28.659                      -34.889524
                  28.662                      -34.775452
                  28.665                      -34.663265
                  28.668                      -34.552913
                  28.671                      -34.444349
                  28.674                      -34.337528
                  28.677                      -34.232408
                   28.68                      -34.128948
                  28.683                      -34.027107
                  28.686                      -33.926848
                  28.689                      -33.828135
                  28.692                      -33.730931
                  28.695                      -33.635204
                  28.698                      -33.540921
                  28.701                       -33.44805
                  28.704                      -33.356562
                  28.707                      -33.266428
                   28.71                      -33.177619
                  28.713                      -33.090108
                  28.716                      -33.003871
                  28.719                      -32.918881
                  28.722                      -32.835114
                  28.725                      -32.752547
                  28.728                      -32.671158
                  28.731                      -32.590925
                  28.734                      -32.511827
                  28.737                      -32.433842
                   28.74                      -32.356953
                  28.743                      -32.281139
                  28.746                      -32.206383
                  28.749                      -32.132666
                  28.752                      -32.059971
                  28.755                      -31.988282
                  28.758                      -31.917582
                  28.761                      -31.847856
                  28.764                      -31.779089
                  28.767                      -31.711265
                   28.77                      -31.644372
                  28.773                      -31.578394
                  28.776                      -31.513319
                  28.779                      -31.449133
                  28.782                      -31.385824
                  28.785                      -31.323381
                  28.788                       -31.26179
                  28.791                       -31.20104
                  28.794                      -31.141121
                  28.797                      -31.082022
                    28.8                      -31.023731
                  28.803                      -30.966239
                  28.806                      -30.909536
                  28.809                      -30.853612
                  28.812                      -30.798458
                  28.815                      -30.744065
                  28.818                      -30.690424
                  28.821                      -30.637526
                  28.824                      -30.585363
                  28.827                      -30.533927
                   28.83                       -30.48321
                  28.833                      -30.433205
                  28.836                      -30.383903
                  28.839                      -30.335298
                  28.842                      -30.287383
                  28.845                       -30.24015
                  28.848                      -30.193594
                  28.851                      -30.147707
                  28.854                      -30.102484
                  28.857                      -30.057918
                   28.86                      -30.014003
                  28.863                      -29.970733
                  28.866                      -29.928104
                  28.869                      -29.886108
                  28.872                      -29.844742
                  28.875                      -29.803999
                  28.878                      -29.763875
                  28.881                      -29.724364
                  28.884                      -29.685463
                  28.887                      -29.647165
                   28.89                      -29.609468
                  28.893                      -29.572366
                  28.896                      -29.535854
                  28.899                       -29.49993
                  28.902                      -29.464588
                  28.905                      -29.429825
                  28.908                      -29.395637
                  28.911                       -29.36202
                  28.914                      -29.328971
                  28.917                      -29.296485
                   28.92                       -29.26456
                  28.923                      -29.233192
                  28.926                      -29.202377
                  28.929                      -29.172113
                  28.932                      -29.142397
                  28.935                      -29.113225
                  28.938                      -29.084594
                  28.941                      -29.056502
                  28.944                      -29.028946
                  28.947                      -29.001923
                   28.95                       -28.97543
                  28.953                      -28.949465
                  28.956                      -28.924026
                  28.959                      -28.899109
                  28.962                      -28.874713
                  28.965                      -28.850835
                  28.968                      -28.827474
                  28.971                      -28.804626
                  28.974                       -28.78229
                  28.977                      -28.760463
                   28.98                      -28.739144
                  28.983                      -28.718331
                  28.986                      -28.698022
                  28.989                      -28.678214
                  28.992                      -28.658907
                  28.995                      -28.640099
                  28.998                      -28.621787
                  29.001                       -28.60397
                  29.004                      -28.586647
                  29.007                      -28.569816
                   29.01                      -28.553475
                  29.013                      -28.537624
                  29.016                      -28.522261
                  29.019                      -28.507383
                  29.022                      -28.492991
                  29.025                      -28.479083
                  29.028                      -28.465657
                  29.031                      -28.452713
                  29.034                      -28.440249
                  29.037                      -28.428263
                   29.04                      -28.416756
                  29.043                      -28.405727
                  29.046                      -28.395173
                  29.049                      -28.385094
                  29.052                      -28.375489
                  29.055                      -28.366358
                  29.058                      -28.357698
                  29.061                      -28.349511
                  29.064                      -28.341794
                  29.067                      -28.334548
                   29.07                       -28.32777
                  29.073                      -28.321462
                  29.076                      -28.315621
                  29.079                      -28.310248
                  29.082                      -28.305342
                  29.085                      -28.300902
                  29.088                      -28.296927
                  29.091                      -28.293418
                  29.094                      -28.290373
                  29.097                      -28.287793
                    29.1                      -28.285677
                  29.103                      -28.284024
                  29.106                      -28.282835
                  29.109                      -28.282108
                  29.112                      -28.281844
                  29.115                      -28.282043
                  29.118                      -28.282703
                  29.121                      -28.283826
                  29.124                       -28.28541
                  29.127                      -28.287456
                   29.13                      -28.289964
                  29.133                      -28.292933
                  29.136                      -28.296363
                  29.139                      -28.300255
                  29.142                      -28.304608
                  29.145                      -28.309423
                  29.148                      -28.314699
                  29.151                      -28.320436
                  29.154                      -28.326636
                  29.157                      -28.333297
                   29.16                      -28.340421
                  29.163                      -28.348007
                  29.166                      -28.356055
                  29.169                      -28.364566
                  29.172                       -28.37354
                  29.175                      -28.382978
                  29.178                       -28.39288
                  29.181                      -28.403246
                  29.184                      -28.414077
                  29.187                      -28.425373
                   29.19                      -28.437134
                  29.193                      -28.449362
                  29.196                      -28.462056
                  29.199                      -28.475218
                  29.202                      -28.488848
                  29.205                      -28.502947
                  29.208                      -28.517514
                  29.211                      -28.532552
                  29.214                      -28.548061
                  29.217                      -28.564042
                   29.22                      -28.580495
                  29.223                      -28.597421
                  29.226                      -28.614822
                  29.229                      -28.632697
                  29.232                      -28.651049
                  29.235                      -28.669879
                  29.238                      -28.689186
                  29.241                      -28.708973
                  29.244                      -28.729241
                  29.247                       -28.74999
                   29.25                      -28.771222
                  29.253                      -28.792938
                  29.256                      -28.815139
                  29.259                      -28.837828
                  29.262                      -28.861004
                  29.265                       -28.88467
                  29.268                      -28.908827
                  29.271                      -28.933477
                  29.274                       -28.95862
                  29.277                      -28.984259
                   29.28                      -29.010396
                  29.283                      -29.037031
                  29.286                      -29.064167
                  29.289                      -29.091806
                  29.292                      -29.119949
                  29.295                      -29.148598
                  29.298                      -29.177754
                  29.301                      -29.207421
                  29.304                        -29.2376
                  29.307                      -29.268293
                   29.31                      -29.299502
                  29.313                      -29.331229
                  29.316                      -29.363477
                  29.319                      -29.396248
                  29.322                      -29.429543
                  29.325                      -29.463366
                  29.328                      -29.497719
                  29.331                      -29.532604
                  29.334                      -29.568024
                  29.337                      -29.603981
                   29.34                      -29.640478
                  29.343                      -29.677518
                  29.346                      -29.715104
                  29.349                      -29.753237
                  29.352                      -29.791922
                  29.355                       -29.83116
                  29.358                      -29.870956
                  29.361                      -29.911311
                  29.364                      -29.952229
                  29.367                      -29.993714
                   29.37                      -30.035768
                  29.373                      -30.078395
                  29.376                      -30.121597
                  29.379                      -30.165379
                  29.382                      -30.209744
                  29.385                      -30.254695
                  29.388                      -30.300236
                  29.391                      -30.346371
                  29.394                      -30.393103
                  29.397                      -30.440436
                    29.4                      -30.488374
                  29.403                       -30.53692
                  29.406                      -30.586079
                  29.409                      -30.635855
                  29.412                      -30.686252
                  29.415                      -30.737274
                  29.418                      -30.788925
                  29.421                       -30.84121
                  29.424                      -30.894133
                  29.427                      -30.947697
                   29.43                      -31.001909
                  29.433                      -31.056772
                  29.436                      -31.112291
                  29.439                      -31.168471
                  29.442                      -31.225317
                  29.445                      -31.282833
                  29.448                      -31.341024
                  29.451                      -31.399895
                  29.454                      -31.459452
                  29.457                      -31.519699
                   29.46                      -31.580641
                  29.463                      -31.642285
                  29.466                      -31.704635
                  29.469                      -31.767696
                  29.472                      -31.831474
                  29.475                      -31.895975
                  29.478                      -31.961204
                  29.481                      -32.027167
                  29.484                      -32.093869
                  29.487                      -32.161316
                   29.49                      -32.229514
                  29.493                       -32.29847
                  29.496                      -32.368188
                  29.499                      -32.438675
                  29.502                      -32.509937
                  29.505                      -32.581981
                  29.508                      -32.654811
                  29.511                      -32.728435
                  29.514                      -32.802858
                  29.517                      -32.878088
                   29.52                       -32.95413
                  29.523                      -33.030991
                  29.526                      -33.108676
                  29.529                      -33.187194
                  29.532                      -33.266549
                  29.535                      -33.346749
                  29.538                        -33.4278
                  29.541                      -33.509708
                  29.544                       -33.59248
                  29.547                      -33.676123
                   29.55                      -33.760643
                  29.553                      -33.846046
                  29.556                      -33.932339
                  29.559                      -34.019529
                  29.562                      -34.107621
                  29.565                      -34.196622
                  29.568                      -34.286538
                  29.571                      -34.377376
                  29.574                      -34.469142
                  29.577                      -34.561841
                   29.58                      -34.655479
                  29.583                      -34.750062
                  29.586                      -34.845596
                  29.589                      -34.942085
                  29.592                      -35.039536
                  29.595                      -35.137954
                  29.598                      -35.237342
                  29.601                      -35.337705
                  29.604                      -35.439048
                  29.607                      -35.541375
                   29.61                      -35.644688
                  29.613                      -35.748992
                  29.616                      -35.854289
                  29.619                       -35.96058
                  29.622                      -36.067869
                  29.625                      -36.176156
                  29.628                      -36.285441
                  29.631                      -36.395725
                  29.634                      -36.507007
                  29.637                      -36.619285
                   29.64                      -36.732558
                  29.643                      -36.846822
                  29.646                      -36.962072
                  29.649                      -37.078304
                  29.652                      -37.195512
                  29.655                      -37.313687
                  29.658                      -37.432821
                  29.661                      -37.552904
                  29.664                      -37.673924
                  29.667                      -37.795868
                   29.67                       -37.91872
                  29.673                      -38.042464
                  29.676                      -38.167081
                  29.679                       -38.29255
                  29.682                      -38.418846
                  29.685                      -38.545945
                  29.688                      -38.673818
                  29.691                      -38.802433
                  29.694                      -38.931757
                  29.697                      -39.061752
                    29.7                      -39.192377
                  29.703                      -39.323588
                  29.706                      -39.455337
                  29.709                      -39.587571
                  29.712                      -39.720235
                  29.715                      -39.853267
                  29.718                      -39.986602
                  29.721                      -40.120171
                  29.724                      -40.253896
                  29.727                      -40.387699
                   29.73                      -40.521491
                  29.733                      -40.655182
                  29.736                      -40.788673
                  29.739                       -40.92186
                  29.742                      -41.054632
                  29.745                      -41.186873
                  29.748                      -41.318461
                  29.751                      -41.449264
                  29.754                      -41.579147
                  29.757                      -41.707968
                   29.76                      -41.835578
                  29.763                      -41.961822
                  29.766                       -42.08654
                  29.769                      -42.209566
                  29.772                      -42.330728
                  29.775                      -42.449852
                  29.778                       -42.56676
                  29.781                      -42.681268
                  29.784                      -42.793193
                  29.787                       -42.90235
                   29.79                      -43.008554
                  29.793                      -43.111621
                  29.796                      -43.211369
                  29.799                      -43.307621
                  29.802                      -43.400203
                  29.805                      -43.488949
                  29.808                      -43.573701
                  29.811                      -43.654311
                  29.814                       -43.73064
                  29.817                      -43.802564
                   29.82                      -43.869969
                  29.823                       -43.93276
                  29.826                      -43.990855
                  29.829                      -44.044189
                  29.832                      -44.092715
                  29.835                      -44.136404
                  29.838                      -44.175246
                  29.841                      -44.209248
                  29.844                      -44.238436
                  29.847                      -44.262854
                   29.85                      -44.282563
                  29.853                      -44.297641
                  29.856                      -44.308182
                  29.859                      -44.314293
                  29.862                      -44.316097
                  29.865                      -44.313728
                  29.868                      -44.307329
                  29.871                      -44.297055
                  29.874                      -44.283066
                  29.877                      -44.265531
                   29.88                      -44.244623
                  29.883                      -44.220516
                  29.886                       -44.19339
                  29.889                      -44.163424
                  29.892                      -44.130795
                  29.895                      -44.095682
                  29.898                       -44.05826
                  29.901                      -44.018699
                  29.904                      -43.977168
                  29.907                      -43.933829
                   29.91                       -43.88884
                  29.913                      -43.842352
                  29.916                      -43.794513
                  29.919                       -43.74546
                  29.922                      -43.695326
                  29.925                      -43.644239
                  29.928                      -43.592316
                  29.931                       -43.53967
                  29.934                      -43.486406
                  29.937                      -43.432623
                   29.94                      -43.378412
                  29.943                      -43.323859
                  29.946                      -43.269043
                  29.949                      -43.214035
                  29.952                      -43.158902
                  29.955                      -43.103705
                  29.958                      -43.048497
                  29.961                      -42.993328
                  29.964                      -42.938241
                  29.967                      -42.883275
                   29.97                      -42.828462
                  29.973                      -42.773832
                  29.976                      -42.719408
                  29.979                      -42.665209
                  29.982                       -42.61125
                  29.985                      -42.557543
                  29.988                      -42.504095
                  29.991                      -42.450907
                  29.994                       -42.39798
                  29.997                      -42.345309
                      30                      -42.292887


