%###############################################################
%               Frequency                        |S41|
%                                              isolation
%                 (GHz)                           (dB)
%###############################################################
                  28.611                      -42.347965
                  28.614                      -42.345166
                  28.617                      -42.342351
                   28.62                      -42.339518
                  28.623                       -42.33667
                  28.626                      -42.333808
                  28.629                      -42.330931
                  28.632                      -42.328041
                  28.635                      -42.325139
                  28.638                      -42.322225
                  28.641                        -42.3193
                  28.644                      -42.316365
                  28.647                       -42.31342
                   28.65                      -42.310467
                  28.653                      -42.307507
                  28.656                      -42.304539
                  28.659                      -42.301564
                  28.662                      -42.298584
                  28.665                      -42.295598
                  28.668                      -42.292608
                  28.671                      -42.289615
                  28.674                      -42.286618
                  28.677                      -42.283618
                   28.68                      -42.280617
                  28.683                      -42.277614
                  28.686                       -42.27461
                  28.689                      -42.271606
                  28.692                      -42.268602
                  28.695                      -42.265599
                  28.698                      -42.262598
                  28.701                      -42.259598
                  28.704                        -42.2566
                  28.707                      -42.253605
                   28.71                      -42.250613
                  28.713                      -42.247625
                  28.716                      -42.244641
                  28.719                      -42.241662
                  28.722                      -42.238687
                  28.725                      -42.235717
                  28.728                      -42.232753
                  28.731                      -42.229796
                  28.734                      -42.226844
                  28.737                      -42.223899
                   28.74                      -42.220961
                  28.743                       -42.21803
                  28.746                      -42.215106
                  28.749                      -42.212191
                  28.752                      -42.209283
                  28.755                      -42.206384
                  28.758                      -42.203493
                  28.761                      -42.200611
                  28.764                      -42.197738
                  28.767                      -42.194874
                   28.77                      -42.192019
                  28.773                      -42.189173
                  28.776                      -42.186337
                  28.779                      -42.183511
                  28.782                      -42.180695
                  28.785                      -42.177889
                  28.788                      -42.175093
                  28.791                      -42.172306
                  28.794                      -42.169531
                  28.797                      -42.166765
                    28.8                       -42.16401
                  28.803                      -42.161265
                  28.806                      -42.158531
                  28.809                      -42.155807
                  28.812                      -42.153094
                  28.815                      -42.150392
                  28.818                      -42.147699
                  28.821                      -42.145018
                  28.824                      -42.142347
                  28.827                      -42.139686
                   28.83                      -42.137036
                  28.833                      -42.134396
                  28.836                      -42.131767
                  28.839                      -42.129148
                  28.842                      -42.126539
                  28.845                       -42.12394
                  28.848                      -42.121352
                  28.851                      -42.118774
                  28.854                      -42.116205
                  28.857                      -42.113647
                   28.86                      -42.111098
                  28.863                      -42.108559
                  28.866                      -42.106029
                  28.869                       -42.10351
                  28.872                      -42.100999
                  28.875                      -42.098498
                  28.878                      -42.096006
                  28.881                      -42.093523
                  28.884                      -42.091049
                  28.887                      -42.088583
                   28.89                      -42.086127
                  28.893                      -42.083679
                  28.896                      -42.081239
                  28.899                      -42.078808
                  28.902                      -42.076385
                  28.905                      -42.073971
                  28.908                      -42.071564
                  28.911                      -42.069165
                  28.914                      -42.066774
                  28.917                      -42.064391
                   28.92                      -42.062015
                  28.923                      -42.059647
                  28.926                      -42.057286
                  28.929                      -42.054932
                  28.932                      -42.052586
                  28.935                      -42.050246
                  28.938                      -42.047914
                  28.941                      -42.045588
                  28.944                       -42.04327
                  28.947                      -42.040958
                   28.95                      -42.038653
                  28.953                      -42.036355
                  28.956                      -42.034063
                  28.959                      -42.031778
                  28.962                        -42.0295
                  28.965                      -42.027228
                  28.968                      -42.024963
                  28.971                      -42.022704
                  28.974                      -42.020452
                  28.977                      -42.018207
                   28.98                      -42.015968
                  28.983                      -42.013736
                  28.986                       -42.01151
                  28.989                      -42.009292
                  28.992                       -42.00708
                  28.995                      -42.004875
                  28.998                      -42.002677
                  29.001                      -42.000487
                  29.004                      -41.998303
                  29.007                      -41.996127
                   29.01                      -41.993959
                  29.013                      -41.991798
                  29.016                      -41.989645
                  29.019                      -41.987501
                  29.022                      -41.985364
                  29.025                      -41.983236
                  29.028                      -41.981117
                  29.031                      -41.979007
                  29.034                      -41.976906
                  29.037                      -41.974815
                   29.04                      -41.972733
                  29.043                      -41.970662
                  29.046                      -41.968601
                  29.049                      -41.966551
                  29.052                      -41.964512
                  29.055                      -41.962484
                  29.058                      -41.960468
                  29.061                      -41.958465
                  29.064                      -41.956475
                  29.067                      -41.954497
                   29.07                      -41.952533
                  29.073                      -41.950584
                  29.076                      -41.948648
                  29.079                      -41.946728
                  29.082                      -41.944824
                  29.085                      -41.942935
                  29.088                      -41.941064
                  29.091                      -41.939209
                  29.094                      -41.937372
                  29.097                      -41.935554
                    29.1                      -41.933754
                  29.103                      -41.931974
                  29.106                      -41.930214
                  29.109                      -41.928475
                  29.112                      -41.926758
                  29.115                      -41.925062
                  29.118                       -41.92339
                  29.121                      -41.921741
                  29.124                      -41.920116
                  29.127                      -41.918516
                   29.13                      -41.916942
                  29.133                      -41.915394
                  29.136                      -41.913873
                  29.139                       -41.91238
                  29.142                      -41.910916
                  29.145                       -41.90948
                  29.148                      -41.908075
                  29.151                      -41.906701
                  29.154                      -41.905358
                  29.157                      -41.904048
                   29.16                      -41.902771
                  29.163                      -41.901527
                  29.166                      -41.900319
                  29.169                      -41.899145
                  29.172                      -41.898008
                  29.175                      -41.896908
                  29.178                      -41.895846
                  29.181                      -41.894821
                  29.184                      -41.893836
                  29.187                      -41.892891
                   29.19                      -41.891986
                  29.193                      -41.891123
                  29.196                      -41.890302
                  29.199                      -41.889523
                  29.202                      -41.888787
                  29.205                      -41.888095
                  29.208                      -41.887448
                  29.211                      -41.886846
                  29.214                      -41.886289
                  29.217                      -41.885779
                   29.22                      -41.885315
                  29.223                      -41.884898
                  29.226                      -41.884529
                  29.229                      -41.884208
                  29.232                      -41.883935
                  29.235                      -41.883712
                  29.238                      -41.883537
                  29.241                      -41.883411
                  29.244                      -41.883335
                  29.247                      -41.883309
                   29.25                      -41.883333
                  29.253                      -41.883407
                  29.256                      -41.883531
                  29.259                      -41.883704
                  29.262                      -41.883928
                  29.265                      -41.884202
                  29.268                      -41.884526
                  29.271                      -41.884899
                  29.274                      -41.885321
                  29.277                      -41.885793
                   29.28                      -41.886313
                  29.283                      -41.886881
                  29.286                      -41.887497
                  29.289                      -41.888159
